code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002582,好想你,食品,河南,71.21,9260.0,14760.0,239945.05,92798.78,95648.84,83548.61,5.66,0.122,9.49,3.66,20110520
000801,四川九洲,通信设备,四川,184.8,102280.65,102280.65,505029.66,438371.91,41461.68,80724.6,0.79,0.015,2.19,5.16,19980506
002665,首航节能,电气设备,北京,331.6,154063.52,197112.98,448193.31,257106.13,45771.12,130618.4,0.66,0.006,1.4,5.59,20120327
300090,盛运环保,环境保护,安徽,382.49,77328.35,131995.3,1106116.63,536453.31,71965.43,216609.2,1.64,0.005,4.01,1.96,20100625
300054,鼎龙股份,化工原料,湖北,67.82,30258.49,44830.26,180690.88,100764.18,42237.85,49031.98,1.09,0.094,3.0,8.46,20100211
600498,烽火通信,通信设备,湖北,52.15,98039.84,104669.34,2029750.75,1728728.75,148802.98,305936.72,2.92,0.114,6.67,3.56,20010823
600030,中信证券,证券,深圳,29.23,981466.19,1211690.88,58458488.0,0.0,325421.84,5445031.0,4.49,0.135,11.48,1.38,20030106
600476,湘邮科技,软件服务,湖南,0.0,16107.0,16107.0,32039.09,24512.09,5722.75,13140.44,0.82,-0.033,1.15,24.5,20031210
300443,金雷风电,专用机械,山东,34.55,5612.6,11252.0,108755.47,68106.11,28857.84,43251.85,3.84,0.461,8.46,7.53,20150422
002649,博彦科技,软件服务,北京,68.02,13202.95,17690.4,248678.55,140824.8,19111.01,124339.95,7.03,0.15,9.92,3.75,20120106
600351,亚宝药业,中成药,山西,27.74,69200.0,78704.14,439027.0,216913.84,177804.02,107806.47,1.37,0.08900000000000001,3.49,2.81,20020926
601788,光大证券,证券,上海,26.42,341800.0,390669.88,19143820.0,0.0,87740.3,1709669.75,4.38,0.153,10.22,1.58,20090818
300510,金冠电气,电气设备,吉林,224.56,2180.0,8692.09,46730.05,35287.03,10796.46,5817.27,0.67,0.068,4.73,12.94,20160506
002443,金洲管道,钢加工,浙江,160.96,50118.51,52053.55,281650.28,157783.77,62873.32,77365.81,1.49,0.024,3.82,4.02,20100706
601377,兴业证券,证券,福建,24.06,669667.19,669667.19,11581082.0,0.0,73715.55,1433409.13,2.14,0.075,4.53,1.6,20101013
000166,申万宏源,证券,新疆,29.03,532319.69,1485674.5,31175604.0,0.0,124634.82,444494.59,0.3,0.07,3.37,2.43,20150126
002262,恩华药业,化学制药,江苏,43.09,51461.83,63071.69,268396.41,180710.17,25231.75,53473.4,0.85,0.111,2.99,6.42,20080723
002360,同德化工,化工原料,山西,263.57,24501.69,39151.26,137911.2,55041.71,27300.76,6320.66,0.16,0.01,2.5,4.42,20100303
